DexNum,Name,Type1,Type2,Ability1,Ability2,Ability3,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,move1,move2,move3,move4,move5,move6,move7,move8,move9,move10,move11,move12,move13,move14,move15,move16,move17,move18,move19,move20,move21,move22,move23,move24,move25,move26,move27,move28,move29,move30,move31,move32,move33,move34,move35
426,drifblim,ghost,flying,aftermath,unburden,flare-boost,150,80,44,90,54,80,"['0', 'phantom-force']","['1', 'gust']","['1', 'minimize']","['1', 'focus-energy']","['1', 'astonish']","['1', 'strength-sap']","['12', 'payback']","['16', 'hex']","['20', 'shadow-ball']","['24', 'stockpile']","['24', 'spit-up']","['24', 'swallow']","['31', 'self-destruct']","['36', 'destiny-bond']","['42', 'baton-pass']","['48', 'tailwind']","['54', 'explosion']",,,,,,,,,,,,,,,,,,
427,buneary,normal,---,run-away,klutz,limber,55,66,44,44,56,85,"['1', 'pound']","['1', 'splash']","['4', 'defense-curl']","['8', 'baby-doll-eyes']","['12', 'after-you']","['16', 'quick-attack']","['20', 'double-kick']","['24', 'charm']","['28', 'baton-pass']","['32', 'headbutt']","['36', 'agility']","['40', 'entrainment']","['44', 'flatter']","['48', 'bounce']","['52', 'healing-wish']",,,,,,,,,,,,,,,,,,,,
428,lopunny,normal,---,cute-charm,klutz,limber,65,76,84,54,96,105,"['1', 'pound']","['1', 'defense-curl']","['1', 'splash']","['1', 'mirror-coat']","['1', 'magic-coat']","['1', 'baby-doll-eyes']","['12', 'after-you']","['16', 'quick-attack']","['20', 'double-kick']","['24', 'charm']","['28', 'baton-pass']","['32', 'headbutt']","['36', 'agility']","['40', 'entrainment']","['44', 'flatter']","['48', 'bounce']","['52', 'healing-wish']","['56', 'high-jump-kick']",,,,,,,,,,,,,,,,,
429,mismagius,ghost,---,levitate,---,---,60,60,60,105,105,105,"['1', 'growl']","['1', 'spite']","['1', 'astonish']","['1', 'magical-leaf']","['1', 'power-gem']","['1', 'phantom-force']","['1', 'mystical-fire']","['1', 'growl']","['1', 'psywave']","['1', 'spite']","['1', 'astonish']","['1', 'magical-leaf']","['1', 'lucky-chant']","['1', 'power-gem']","['1', 'phantom-force']","['1', 'mystical-fire']",,,,,,,,,,,,,,,,,,,
430,honchkrow,dark,flying,insomnia,super-luck,moxie,100,125,52,105,52,71,"['1', 'wing-attack']","['1', 'haze']","['1', 'astonish']","['1', 'sucker-punch']","['1', 'night-slash']","['1', 'quash']","['1', 'wing-attack']","['1', 'haze']","['1', 'pursuit']","['1', 'astonish']","['1', 'sucker-punch']","['1', 'night-slash']","['25', 'swagger']","['25', 'swagger']","['35', 'nasty-plot']","['35', 'nasty-plot']","['45', 'foul-play']","['45', 'foul-play']","['55', 'dark-pulse']","['55', 'night-slash']","['65', 'comeuppance']","['65', 'quash']","['75', 'dark-pulse']",,,,,,,,,,,,
431,glameow,normal,---,limber,own-tempo,keen-eye,49,55,42,42,37,85,"['1', 'fake-out']","['5', 'scratch']","['8', 'growl']","['13', 'hypnosis']","['17', 'feint-attack']","['20', 'fury-swipes']","['25', 'charm']","['29', 'assist']","['32', 'captivate']","['37', 'slash']","['41', 'sucker-punch']","['44', 'attract']","['48', 'hone-claws']","['50', 'play-rough']",,,,,,,,,,,,,,,,,,,,,
432,purugly,normal,---,thick-fat,own-tempo,defiant,71,82,64,64,59,112,"['0', 'swagger']","['1', 'scratch']","['1', 'growl']","['1', 'swagger']","['1', 'fake-out']","['5', 'scratch']","['8', 'growl']","['13', 'hypnosis']","['17', 'feint-attack']","['20', 'fury-swipes']","['25', 'charm']","['29', 'assist']","['32', 'captivate']","['37', 'slash']","['45', 'body-slam']","['52', 'attract']","['60', 'hone-claws']",,,,,,,,,,,,,,,,,,
433,chingling,psychic,---,levitate,---,---,45,30,50,65,50,45,"['1', 'wrap']","['1', 'wrap']","['4', 'growl']","['4', 'growl']","['7', 'astonish']","['7', 'astonish']","['10', 'confusion']","['10', 'confusion']","['13', 'yawn']","['13', 'yawn']","['16', 'last-resort']","['16', 'last-resort']","['19', 'entrainment']","['19', 'entrainment']","['32', 'uproar']","['32', 'uproar']",,,,,,,,,,,,,,,,,,,
434,stunky,poison,dark,stench,aftermath,keen-eye,63,63,47,41,41,74,"['1', 'scratch']","['1', 'poison-gas']","['3', 'feint']","['6', 'smokescreen']","['9', 'acid-spray']","['12', 'fury-swipes']","['15', 'focus-energy']","['18', 'bite']","['21', 'venoshock']","['24', 'screech']","['27', 'toxic']","['30', 'sucker-punch']","['33', 'memento']","['36', 'night-slash']","['39', 'belch']","['42', 'explosion']",,,,,,,,,,,,,,,,,,,
435,skuntank,poison,dark,stench,aftermath,keen-eye,103,93,67,71,61,84,"['0', 'flamethrower']","['1', 'scratch']","['1', 'smokescreen']","['1', 'poison-gas']","['1', 'feint']","['12', 'fury-swipes']","['15', 'focus-energy']","['18', 'bite']","['21', 'venoshock']","['24', 'screech']","['27', 'toxic']","['30', 'sucker-punch']","['33', 'memento']","['38', 'night-slash']","['43', 'belch']","['48', 'explosion']",,,,,,,,,,,,,,,,,,,
436,bronzor,steel,psychic,levitate,heatproof,heavy-metal,57,24,86,24,86,23,"['1', 'tackle']","['1', 'confusion']","['4', 'confuse-ray']","['8', 'payback']","['12', 'imprison']","['16', 'gyro-ball']","['20', 'hypnosis']","['24', 'safeguard']","['28', 'extrasensory']","['32', 'heavy-slam']","['36', 'iron-defense']","['40', 'metal-sound']","['44', 'future-sight']",,,,,,,,,,,,,,,,,,,,,,
437,bronzong,steel,psychic,levitate,heatproof,heavy-metal,67,89,116,79,116,33,"['0', 'block']","['1', 'tackle']","['1', 'confusion']","['1', 'confuse-ray']","['1', 'sunny-day']","['1', 'weather-ball']","['1', 'payback']","['12', 'imprison']","['16', 'gyro-ball']","['20', 'hypnosis']","['24', 'safeguard']","['28', 'extrasensory']","['32', 'heavy-slam']","['38', 'iron-defense']","['44', 'metal-sound']","['50', 'future-sight']","['56', 'rain-dance']",,,,,,,,,,,,,,,,,,
438,bonsly,rock,---,sturdy,rock-head,rattled,50,80,95,10,45,10,"['1', 'fake-tears']","['1', 'copycat']","['4', 'flail']","['8', 'rock-throw']","['12', 'block']","['16', 'mimic']","['20', 'rock-tomb']","['24', 'tearful-look']","['28', 'sucker-punch']","['32', 'rock-slide']","['36', 'low-kick']","['40', 'counter']","['44', 'double-edge']",,,,,,,,,,,,,,,,,,,,,,
439,mime jr.,psychic,fairy,soundproof,filter,technician,20,25,45,70,90,60,"['1', 'pound']","['1', 'copycat']","['4', 'baton-pass']","['8', 'encore']","['12', 'confusion']","['16', 'role-play']","['20', 'protect']","['24', 'recycle']","['28', 'psybeam']","['32', 'mimic']","['36', 'light-screen']","['36', 'reflect']","['36', 'safeguard']","['40', 'sucker-punch']","['44', 'dazzling-gleam']","['48', 'psychic']","['52', 'teeter-dance']",,,,,,,,,,,,,,,,,,
440,happiny,normal,---,natural-cure,serene-grace,friend-guard,100,5,5,15,65,30,"['1', 'pound']","['1', 'copycat']","['4', 'defense-curl']","['8', 'sweet-kiss']","['12', 'disarming-voice']","['16', 'covet']","['20', 'charm']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,chatot,normal,flying,keen-eye,tangled-feet,big-pecks,76,65,45,92,42,91,"['1', 'peck']","['1', 'taunt']","['1', 'hyper-voice']","['1', 'chatter']","['1', 'confide']","['5', 'growl']","['9', 'mirror-move']","['13', 'sing']","['17', 'fury-attack']","['21', 'chatter']","['25', 'taunt']","['29', 'round']","['33', 'mimic']","['37', 'echoed-voice']","['41', 'roost']","['45', 'uproar']","['49', 'synchronoise']","['50', 'feather-dance']","['57', 'hyper-voice']",,,,,,,,,,,,,,,,
442,spiritomb,ghost,dark,pressure,infiltrator,---,50,92,108,92,108,35,"['1', 'night-shade']","['1', 'confuse-ray']","['5', 'shadow-sneak']","['10', 'spite']","['15', 'payback']","['20', 'nasty-plot']","['25', 'hex']","['30', 'memento']","['35', 'sucker-punch']","['40', 'curse']","['45', 'shadow-ball']","['50', 'dark-pulse']","['55', 'hypnosis']","['60', 'dream-eater']",,,,,,,,,,,,,,,,,,,,,
443,gible,dragon,ground,sand-veil,rough-skin,---,58,70,45,40,45,42,"['1', 'tackle']","['1', 'sand-tomb']","['6', 'sand-attack']","['12', 'dragon-breath']","['18', 'bulldoze']","['25', 'bite']","['30', 'slash']","['36', 'dragon-claw']","['42', 'dig']","['48', 'sandstorm']","['54', 'take-down']","['60', 'dragon-rush']",,,,,,,,,,,,,,,,,,,,,,,
444,gabite,dragon,ground,sand-veil,rough-skin,---,68,90,65,50,55,82,"['1', 'sand-attack']","['1', 'tackle']","['1', 'dragon-breath']","['1', 'sand-tomb']","['18', 'bulldoze']","['27', 'bite']","['34', 'slash']","['42', 'dragon-claw']","['50', 'dig']","['58', 'sandstorm']","['66', 'take-down']","['74', 'dragon-rush']",,,,,,,,,,,,,,,,,,,,,,,
445,garchomp,dragon,ground,sand-veil,rough-skin,---,108,130,95,80,85,102,"['0', 'crunch']","['1', 'sand-attack']","['1', 'tackle']","['1', 'dragon-breath']","['1', 'sand-tomb']","['18', 'bulldoze']","['27', 'bite']","['34', 'slash']","['42', 'dragon-claw']","['52', 'dig']","['62', 'sandstorm']","['72', 'take-down']","['82', 'dragon-rush']",,,,,,,,,,,,,,,,,,,,,,
446,munchlax,normal,---,pickup,thick-fat,gluttony,135,85,40,40,85,5,"['1', 'tackle']","['1', 'lick']","['4', 'defense-curl']","['8', 'recycle']","['12', 'covet']","['16', 'bite']","['20', 'stockpile']","['20', 'swallow']","['24', 'screech']","['28', 'body-slam']","['32', 'fling']","['36', 'amnesia']","['40', 'metronome']","['44', 'flail']","['48', 'belly-drum']","['52', 'last-resort']",,,,,,,,,,,,,,,,,,,
447,riolu,fighting,---,steadfast,inner-focus,prankster,40,70,40,35,40,60,"['1', 'quick-attack']","['1', 'endure']","['4', 'feint']","['8', 'metal-claw']","['12', 'counter']","['16', 'work-up']","['20', 'rock-smash']","['24', 'vacuum-wave']","['28', 'screech']","['32', 'quick-guard']","['36', 'force-palm']","['40', 'swords-dance']","['44', 'helping-hand']","['48', 'copycat']","['52', 'final-gambit']","['56', 'reversal']",,,,,,,,,,,,,,,,,,,
448,lucario,fighting,steel,steadfast,inner-focus,justified,70,110,70,115,70,90,"['0', 'aura-sphere']","['1', 'quick-attack']","['1', 'screech']","['1', 'reversal']","['1', 'detect']","['1', 'metal-claw']","['1', 'rock-smash']","['1', 'helping-hand']","['1', 'feint']","['1', 'copycat']","['1', 'vacuum-wave']","['1', 'final-gambit']","['1', 'life-dew']","['12', 'counter']","['16', 'work-up']","['20', 'force-palm']","['24', 'calm-mind']","['28', 'metal-sound']","['32', 'quick-guard']","['36', 'bone-rush']","['40', 'swords-dance']","['44', 'heal-pulse']","['48', 'meteor-mash']","['52', 'dragon-pulse']","['56', 'extreme-speed']","['60', 'close-combat']",,,,,,,,,
449,hippopotas,ground,---,sand-stream,sand-force,---,68,72,78,38,42,32,"['1', 'sand-attack']","['1', 'tackle']","['4', 'bite']","['8', 'yawn']","['12', 'sand-tomb']","['16', 'dig']","['20', 'crunch']","['24', 'sandstorm']","['28', 'take-down']","['32', 'roar']","['36', 'rest']","['40', 'earthquake']","['44', 'double-edge']","['48', 'fissure']","['52', 'slack-off']",,,,,,,,,,,,,,,,,,,,
450,hippowdon,ground,---,sand-stream,sand-force,---,108,112,118,68,72,47,"['1', 'sand-attack']","['1', 'tackle']","['1', 'bite']","['1', 'yawn']","['1', 'thunder-fang']","['1', 'ice-fang']","['1', 'fire-fang']","['12', 'sand-tomb']","['16', 'dig']","['20', 'crunch']","['24', 'sandstorm']","['28', 'take-down']","['32', 'roar']","['38', 'rest']","['44', 'earthquake']","['50', 'double-edge']","['56', 'fissure']","['62', 'slack-off']",,,,,,,,,,,,,,,,,
451,skorupi,poison,bug,battle-armor,sniper,keen-eye,40,50,90,30,55,65,"['1', 'poison-sting']","['1', 'leer']","['3', 'hone-claws']","['6', 'fell-stinger']","['9', 'poison-fang']","['12', 'bite']","['15', 'toxic-spikes']","['18', 'bug-bite']","['21', 'venoshock']","['24', 'knock-off']","['27', 'scary-face']","['30', 'pin-missile']","['33', 'toxic']","['36', 'night-slash']","['39', 'cross-poison']","['42', 'x-scissor']","['45', 'acupressure']","['48', 'crunch']",,,,,,,,,,,,,,,,,
452,drapion,poison,dark,battle-armor,sniper,keen-eye,70,90,110,60,75,95,"['1', 'poison-sting']","['1', 'leer']","['1', 'thunder-fang']","['1', 'ice-fang']","['1', 'fire-fang']","['1', 'hone-claws']","['1', 'fell-stinger']","['9', 'poison-fang']","['12', 'bite']","['15', 'toxic-spikes']","['18', 'bug-bite']","['21', 'venoshock']","['24', 'knock-off']","['27', 'scary-face']","['30', 'pin-missile']","['33', 'toxic']","['36', 'night-slash']","['39', 'cross-poison']","['44', 'x-scissor']","['49', 'acupressure']","['54', 'crunch']",,,,,,,,,,,,,,
453,croagunk,poison,fighting,anticipation,dry-skin,poison-touch,48,61,40,61,40,50,"['1', 'poison-sting']","['1', 'mud-slap']","['4', 'astonish']","['8', 'taunt']","['12', 'flatter']","['16', 'low-kick']","['20', 'venoshock']","['24', 'sucker-punch']","['28', 'swagger']","['32', 'poison-jab']","['36', 'toxic']","['40', 'nasty-plot']","['44', 'sludge-bomb']","['48', 'belch']",,,,,,,,,,,,,,,,,,,,,
454,toxicroak,poison,fighting,anticipation,dry-skin,poison-touch,83,106,65,86,65,85,"['1', 'poison-sting']","['1', 'mud-slap']","['1', 'taunt']","['1', 'astonish']","['12', 'flatter']","['16', 'low-kick']","['20', 'venoshock']","['24', 'sucker-punch']","['28', 'swagger']","['32', 'poison-jab']","['36', 'toxic']","['42', 'nasty-plot']","['48', 'sludge-bomb']","['54', 'belch']",,,,,,,,,,,,,,,,,,,,,
455,carnivine,grass,---,levitate,---,---,74,100,72,90,72,46,"['1', 'bind']","['1', 'growth']","['7', 'bite']","['11', 'vine-whip']","['17', 'sweet-scent']","['21', 'ingrain']","['27', 'feint-attack']","['31', 'leaf-tornado']","['37', 'stockpile']","['37', 'spit-up']","['37', 'swallow']","['41', 'crunch']","['47', 'wring-out']","['50', 'power-whip']",,,,,,,,,,,,,,,,,,,,,
456,finneon,water,---,swift-swim,storm-drain,water-veil,49,49,56,49,61,66,"['1', 'pound']","['1', 'pound']","['6', 'water-gun']","['6', 'water-gun']","['10', 'attract']","['13', 'rain-dance']","['13', 'rain-dance']","['17', 'gust']","['17', 'gust']","['22', 'water-pulse']","['22', 'water-pulse']","['26', 'attract']","['26', 'captivate']","['29', 'safeguard']","['29', 'safeguard']","['33', 'aqua-ring']","['33', 'aqua-ring']","['38', 'whirlpool']","['38', 'whirlpool']","['42', 'u-turn']","['42', 'u-turn']","['45', 'bounce']","['45', 'bounce']","['49', 'tailwind']","['49', 'silver-wind']","['54', 'soak']","['54', 'soak']",,,,,,,,
457,lumineon,water,---,swift-swim,storm-drain,water-veil,69,69,76,69,86,91,"['1', 'pound']","['1', 'gust']","['1', 'water-gun']","['1', 'soak']","['1', 'pound']","['1', 'gust']","['1', 'water-gun']","['1', 'attract']","['1', 'soak']","['6', 'water-gun']","['10', 'attract']","['13', 'rain-dance']","['13', 'rain-dance']","['17', 'gust']","['22', 'water-pulse']","['22', 'water-pulse']","['26', 'attract']","['26', 'captivate']","['29', 'safeguard']","['29', 'safeguard']","['35', 'aqua-ring']","['35', 'aqua-ring']","['42', 'whirlpool']","['42', 'whirlpool']","['48', 'u-turn']","['48', 'u-turn']","['53', 'bounce']","['53', 'bounce']","['59', 'tailwind']","['59', 'silver-wind']","['66', 'soak']",,,,
458,mantyke,water,flying,swift-swim,water-absorb,water-veil,45,20,50,60,120,50,"['1', 'tackle']","['1', 'water-gun']","['4', 'supersonic']","['8', 'wing-attack']","['12', 'water-pulse']","['16', 'wide-guard']","['20', 'agility']","['24', 'bubble-beam']","['28', 'headbutt']","['32', 'air-slash']","['36', 'aqua-ring']","['40', 'bounce']","['44', 'take-down']","['48', 'hydro-pump']",,,,,,,,,,,,,,,,,,,,,
459,snover,grass,ice,snow-warning,soundproof,---,60,62,50,62,60,40,"['1', 'leer']","['1', 'powder-snow']","['5', 'leafage']","['10', 'mist']","['15', 'ice-shard']","['20', 'razor-leaf']","['25', 'icy-wind']","['30', 'swagger']","['35', 'ingrain']","['41', 'wood-hammer']","['45', 'blizzard']","['50', 'sheer-cold']",,,,,,,,,,,,,,,,,,,,,,,
460,abomasnow,grass,ice,snow-warning,soundproof,---,90,92,75,92,85,60,"['0', 'ice-punch']","['1', 'leer']","['1', 'mist']","['1', 'powder-snow']","['1', 'leafage']","['1', 'aurora-veil']","['15', 'ice-shard']","['20', 'razor-leaf']","['25', 'icy-wind']","['30', 'swagger']","['35', 'ingrain']","['43', 'wood-hammer']","['49', 'blizzard']","['56', 'sheer-cold']",,,,,,,,,,,,,,,,,,,,,
461,weavile,dark,ice,pressure,pickpocket,---,70,120,65,45,85,125,"['1', 'scratch']","['1', 'leer']","['1', 'agility']","['1', 'quick-attack']","['1', 'slash']","['1', 'beat-up']","['1', 'taunt']","['1', 'assurance']","['1', 'ice-shard']","['18', 'metal-claw']","['24', 'icy-wind']","['30', 'fury-swipes']","['36', 'hone-claws']","['42', 'fling']","['48', 'nasty-plot']","['54', 'screech']","['60', 'night-slash']","['66', 'dark-pulse']",,,,,,,,,,,,,,,,,
462,magnezone,electric,steel,magnet-pull,sturdy,analytic,70,70,115,130,90,60,"['1', 'tackle']","['1', 'supersonic']","['1', 'thunder-shock']","['1', 'thunder-wave']","['1', 'tri-attack']","['1', 'mirror-coat']","['1', 'magnetic-flux']","['1', 'electric-terrain']","['12', 'electro-ball']","['16', 'gyro-ball']","['20', 'spark']","['24', 'screech']","['28', 'magnet-rise']","['34', 'flash-cannon']","['40', 'discharge']","['46', 'metal-sound']","['52', 'light-screen']","['58', 'lock-on']","['64', 'zap-cannon']",,,,,,,,,,,,,,,,
463,lickilicky,normal,---,own-tempo,oblivious,cloud-nine,110,85,95,80,95,50,"['1', 'supersonic']","['1', 'defense-curl']","['1', 'lick']","['1', 'rollout']","['18', 'wrap']","['24', 'disable']","['30', 'stomp']","['36', 'knock-off']","['42', 'screech']","['48', 'slam']","['54', 'power-whip']","['60', 'belly-drum']",,,,,,,,,,,,,,,,,,,,,,,
464,rhyperior,ground,rock,lightning-rod,solid-rock,reckless,115,140,130,55,55,40,"['1', 'tackle']","['1', 'tail-whip']","['1', 'hammer-arm']","['1', 'smack-down']","['1', 'bulldoze']","['15', 'horn-attack']","['20', 'scary-face']","['25', 'stomp']","['30', 'rock-blast']","['35', 'drill-run']","['40', 'take-down']","['47', 'earthquake']","['54', 'stone-edge']","['61', 'megahorn']","['68', 'horn-drill']","['75', 'rock-wrecker']",,,,,,,,,,,,,,,,,,,
465,tangrowth,grass,---,chlorophyll,leaf-guard,regenerator,100,100,125,110,50,50,"['1', 'bind']","['1', 'absorb']","['1', 'growth']","['1', 'stun-spore']","['1', 'block']","['12', 'mega-drain']","['16', 'vine-whip']","['20', 'poison-powder']","['24', 'ancient-power']","['28', 'knock-off']","['32', 'giga-drain']","['36', 'sleep-powder']","['40', 'slam']","['44', 'tickle']","['48', 'power-whip']","['52', 'ingrain']","['56', 'grassy-terrain']",,,,,,,,,,,,,,,,,,
466,electivire,electric,---,motor-drive,vital-spirit,---,75,123,67,95,85,95,"['1', 'leer']","['1', 'thunder-shock']","['1', 'quick-attack']","['1', 'charge']","['12', 'swift']","['16', 'shock-wave']","['20', 'thunder-wave']","['24', 'screech']","['28', 'thunder-punch']","['34', 'discharge']","['40', 'low-kick']","['46', 'thunderbolt']","['52', 'light-screen']","['58', 'thunder']","['64', 'giga-impact']",,,,,,,,,,,,,,,,,,,,
467,magmortar,fire,---,flame-body,vital-spirit,---,75,95,67,125,95,83,"['1', 'leer']","['1', 'ember']","['1', 'smokescreen']","['1', 'smog']","['12', 'clear-smog']","['16', 'flame-wheel']","['20', 'confuse-ray']","['24', 'scary-face']","['28', 'fire-punch']","['34', 'lava-plume']","['40', 'low-kick']","['46', 'flamethrower']","['52', 'sunny-day']","['58', 'fire-blast']","['64', 'hyper-beam']",,,,,,,,,,,,,,,,,,,,
468,togekiss,fairy,flying,hustle,serene-grace,super-luck,85,50,95,120,115,80,"['0', 'air-slash']","['1', 'pound']","['1', 'double-edge']","['1', 'growl']","['1', 'metronome']","['1', 'sky-attack']","['1', 'tri-attack']","['1', 'sweet-kiss']","['1', 'charm']","['1', 'safeguard']","['1', 'baton-pass']","['1', 'extreme-speed']","['1', 'ancient-power']","['1', 'follow-me']","['1', 'wish']","['1', 'yawn']","['1', 'last-resort']","['1', 'aura-sphere']","['1', 'air-slash']","['1', 'after-you']","['1', 'fairy-wind']","['1', 'life-dew']",,,,,,,,,,,,,
469,yanmega,bug,flying,speed-boost,tinted-lens,frisk,86,76,86,116,56,95,"['1', 'tackle']","['1', 'double-team']","['1', 'night-slash']","['1', 'air-slash']","['1', 'bug-buzz']","['1', 'tackle']","['1', 'quick-attack']","['1', 'double-team']","['1', 'foresight']","['1', 'night-slash']","['1', 'air-slash']","['1', 'bug-buzz']","['1', 'bug-bite']","['6', 'quick-attack']","['11', 'double-team']","['14', 'quick-attack']","['14', 'sonic-boom']","['17', 'detect']","['17', 'detect']","['22', 'supersonic']","['22', 'supersonic']","['27', 'uproar']","['27', 'uproar']","['30', 'bug-bite']","['30', 'pursuit']","['33', 'ancient-power']","['33', 'ancient-power']","['38', 'feint']","['38', 'feint']","['43', 'slash']","['43', 'slash']","['46', 'screech']","['46', 'screech']","['49', 'u-turn']","['49', 'u-turn']"
470,leafeon,grass,---,leaf-guard,chlorophyll,---,65,110,130,60,65,95,"['0', 'razor-leaf']","['1', 'tackle']","['1', 'take-down']","['1', 'double-edge']","['1', 'tail-whip']","['1', 'bite']","['1', 'growl']","['1', 'swift']","['1', 'charm']","['1', 'baton-pass']","['1', 'helping-hand']","['1', 'covet']","['1', 'copycat']","['5', 'sand-attack']","['10', 'quick-attack']","['15', 'baby-doll-eyes']","['20', 'leech-seed']","['25', 'magical-leaf']","['30', 'synthesis']","['35', 'sunny-day']","['40', 'giga-drain']","['45', 'swords-dance']","['50', 'leaf-blade']","['55', 'last-resort']",,,,,,,,,,,
471,glaceon,ice,---,snow-cloak,ice-body,---,65,60,110,130,95,65,"['0', 'icy-wind']","['1', 'tackle']","['1', 'take-down']","['1', 'double-edge']","['1', 'tail-whip']","['1', 'growl']","['1', 'swift']","['1', 'charm']","['1', 'baton-pass']","['1', 'helping-hand']","['1', 'covet']","['1', 'copycat']","['5', 'sand-attack']","['10', 'quick-attack']","['15', 'baby-doll-eyes']","['20', 'ice-shard']","['25', 'bite']","['30', 'ice-fang']","['35', 'snowscape']","['40', 'freeze-dry']","['45', 'mirror-coat']","['50', 'blizzard']","['55', 'last-resort']",,,,,,,,,,,,
472,gliscor,ground,flying,hyper-cutter,sand-veil,poison-heal,75,95,125,45,75,95,"['1', 'sand-attack']","['1', 'harden']","['1', 'poison-jab']","['1', 'thunder-fang']","['1', 'ice-fang']","['1', 'fire-fang']","['1', 'guillotine']","['1', 'sand-attack']","['1', 'harden']","['1', 'knock-off']","['1', 'poison-jab']","['1', 'thunder-fang']","['1', 'ice-fang']","['1', 'fire-fang']","['4', 'sand-attack']","['7', 'harden']","['10', 'knock-off']","['13', 'quick-attack']","['13', 'quick-attack']","['16', 'fury-cutter']","['16', 'fury-cutter']","['19', 'knock-off']","['19', 'feint-attack']","['22', 'acrobatics']","['22', 'acrobatics']","['27', 'night-slash']","['27', 'night-slash']","['30', 'u-turn']","['30', 'u-turn']","['35', 'screech']","['35', 'screech']","['40', 'x-scissor']","['40', 'x-scissor']","['45', 'crabhammer']","['45', 'sky-uppercut']"
473,mamoswine,ice,ground,oblivious,snow-cloak,thick-fat,110,130,80,70,60,80,"['0', 'double-hit']","['1', 'tackle']","['1', 'flail']","['1', 'powder-snow']","['1', 'mud-slap']","['1', 'ancient-power']","['1', 'ice-fang']","['15', 'ice-shard']","['20', 'mist']","['25', 'endure']","['30', 'icy-wind']","['37', 'amnesia']","['44', 'take-down']","['51', 'earthquake']","['58', 'blizzard']","['65', 'thrash']",,,,,,,,,,,,,,,,,,,
474,porygon-z,normal,---,adaptability,download,analytic,85,80,70,135,75,90,"['1', 'tackle']","['1', 'defense-curl']","['1', 'conversion']","['1', 'recycle']","['1', 'magnet-rise']","['1', 'nasty-plot']","['1', 'trick-room']","['15', 'thunder-shock']","['20', 'psybeam']","['25', 'conversion-2']","['30', 'agility']","['35', 'recover']","['40', 'discharge']","['45', 'tri-attack']","['50', 'double-edge']","['55', 'lock-on']","['60', 'zap-cannon']","['65', 'hyper-beam']",,,,,,,,,,,,,,,,,
475,gallade,psychic,fighting,steadfast,sharpness,justified,68,125,65,65,115,80,"['0', 'slash']","['1', 'leer']","['1', 'growl']","['1', 'psybeam']","['1', 'confusion']","['1', 'psychic']","['1', 'hypnosis']","['1', 'double-team']","['1', 'dream-eater']","['1', 'charm']","['1', 'fury-cutter']","['1', 'future-sight']","['1', 'imprison']","['1', 'calm-mind']","['1', 'leaf-blade']","['1', 'night-slash']","['1', 'sacred-sword']","['1', 'disarming-voice']","['1', 'draining-kiss']","['1', 'life-dew']","['1', 'aqua-cutter']","['9', 'helping-hand']","['12', 'feint']","['15', 'teleport']","['18', 'aerial-ace']","['23', 'false-swipe']","['28', 'protect']","['35', 'swords-dance']","['42', 'psycho-cut']","['49', 'heal-pulse']","['56', 'wide-guard']","['56', 'quick-guard']","['63', 'close-combat']",,
476,probopass,rock,steel,sturdy,magnet-pull,sand-force,60,55,145,75,150,40,"['0', 'tri-attack']","['0', 'tri-attack']","['1', 'tackle']","['1', 'iron-defense']","['1', 'block']","['1', 'gravity']","['1', 'magnet-rise']","['1', 'wide-guard']","['1', 'magnetic-flux']","['1', 'tackle']","['1', 'tri-attack']","['1', 'iron-defense']","['1', 'block']","['1', 'gravity']","['1', 'magnet-rise']","['1', 'magnet-bomb']","['1', 'wide-guard']","['1', 'magnetic-flux']","['4', 'iron-defense']","['7', 'block']","['10', 'magnet-bomb']","['13', 'thunder-wave']","['13', 'thunder-wave']","['16', 'rest']","['16', 'rest']","['19', 'spark']","['19', 'spark']","['22', 'rock-slide']","['22', 'rock-slide']","['25', 'power-gem']","['25', 'power-gem']","['28', 'rock-blast']","['28', 'rock-blast']","['31', 'discharge']","['31', 'discharge']"
477,dusknoir,ghost,---,pressure,frisk,---,45,100,135,65,135,45,"['1', 'fire-punch']","['1', 'ice-punch']","['1', 'thunder-punch']","['1', 'bind']","['1', 'leer']","['1', 'disable']","['1', 'astonish']","['1', 'shadow-punch']","['1', 'gravity']","['1', 'shadow-sneak']","['12', 'confuse-ray']","['16', 'night-shade']","['20', 'payback']","['24', 'will-o-wisp']","['28', 'mean-look']","['32', 'hex']","['36', 'curse']","['42', 'shadow-ball']","['48', 'future-sight']","['54', 'destiny-bond']",,,,,,,,,,,,,,,
478,froslass,ice,ghost,snow-cloak,cursed-body,---,70,80,70,80,70,110,"['0', 'hex']","['1', 'headbutt']","['1', 'leer']","['1', 'bite']","['1', 'double-team']","['1', 'powder-snow']","['1', 'protect']","['1', 'destiny-bond']","['1', 'crunch']","['1', 'astonish']","['1', 'ice-fang']","['15', 'ice-shard']","['20', 'draining-kiss']","['25', 'icy-wind']","['30', 'frost-breath']","['35', 'confuse-ray']","['40', 'snowscape']","['47', 'will-o-wisp']","['54', 'aurora-veil']","['61', 'shadow-ball']","['68', 'blizzard']",,,,,,,,,,,,,,
